ID,jobTitle,companyName,jobLocation,jobSummary
247,Lead Data Scientist,eXcell,"Seattle, WA",Provide hands-on technical guidance to data scientists and analysts to encourage technical growth and ensure proper application of standard methodologies....
248,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the business units at Big Fish Games....
249,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)","Data Science / Analytics. Proven history working of data integration with SQL, as well as within a statistical programming language such as R or Python in a for..."
250,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any..."
251,Lead Data Scientist,eXcell,"Seattle, WA","Our fast-moving client company is looking for an accomplished, hands-on Data Scientist to lead the Data Science team...."
252,Data Engineer,Stackline,"Seattle, WA 98101 (Downtown area)","You will be working closely with Data Scientists, Software Engineers and Business Intelligence teams. As a Data Engineer you will need your experience building..."
253,Data Scientist / Computational Biologist,bluebird bio,"Seattle, WA 98103 (Green Lake - Wallingford area)",Experience analyzing and interpreting RNA sequencing data. Collaborate with wet lab automation scientists to design experiments leveraging high-throughput...
254,Recruiter - Data and Applied Science / HR4HR,"Amazon.com Services, Inc.","Seattle, WA","Experience supporting applied science, data science, machine learning or data engineering. HR Partners, Recruiting Partners, Comp and Benefits, Immigration,..."
255,UX Data Scientist,Qualtrics,"Seattle, WA","As the Data Scientist on the Experience Research Team you will bring the power of our data to Qualtrics, itself...."
256,Data Scientist,"ExtraHop Networks, Inc.","Seattle, WA 98101 (Downtown area)",Employ a mix of manual and automated data analysis techniques to collect data and analyze the operational environment of the ExtraHop system....
257,Senior Data Scientist,Rover,"Seattle, WA","As a Data Scientist You Will:. What does Data Science mean at Rover? Data scientists are responsible for defining the right metrics, understanding nuanced..."
258,Junior EDC Programmer,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",The Junior Electronic Data Capture (EDC) Programmer is an entry level position that supports the SCHARP clinical data management team....
259,Principal Data Scientist,"Amazon.com Services, Inc.","Seattle, WA","As a successful data scientist at Amazon Music, you need to understand the streaming music industry and the meanings of data across Marketing, Product, Finance,..."
260,Principal Data Scientist,Staples,"Seattle, WA 98104 (First Hill area)",You will also work closely with the Data Engineering team to drive automation of data science findings into the data stream....
261,Lead Data Scientist Job,Novo Nordisk,"Seattle, WA 98109 (Westlake area)","The Lead Data Scientist will be responsible for developing, implementing and applying data science solutions to technical problems...."
262,MID/SR LEVEL WETLAND SCIENTIST - BS REQUIRED,Soundview Consultants LLC,"Seattle, WA","Scientist, wetland, delineation, western Washington, assessment, consulting. Experience in accurately completing field reconnaissance and investigations..."
263,Computer Scientist,Federal Bureau of Investigation,"Seattle, WA","Assist in the development and use of basic computing environments for analysis of digital data. Use, troubleshoot and modify existing tools and methods to..."
264,Senior Data Scientist (Bellevue),zulily,"Seattle, WA 98121 (Belltown area)",Data Science / Analytics. Conducts exploratory data analysis and prepares visualizations summarizing key features of the data....
265,"Data Engineer, Visualization",Big Fish Games,"Seattle, WA 98104 (First Hill area)",Data modeling for data warehousing. The data engineering team is looking for a data engineer to provide insights and data visualizations for many of the...
266,Data Scientist (MS1706),"Akvelon, Inc.","Seattle, WA","Collaborate with other data scientists and stakeholders on projects. Experience building data pipelines. Experience in marketing analytics, attribution modeling..."
267,Applied Research Scientist - Machine Learning,Apple,"Seattle, WA",Co-developing machine learning solutions with data scientists and engineers on product teams across Apple. We are looking for applied scientists with a passion...
268,Data Scientist - Insurance,Blue Owl,"San Francisco, CA",Deep experience with GLMs as well as modern machine learning methods. Should be familiar with Python’s scientific computing ecosystem....
269,Data Scientist,MasterClass,"San Francisco, CA","Expertise with statistical analysis, applying various machine learning techniques, predictive modeling and data mining to solve business problems...."
270,Senior Data Scientist,Zumper,"San Francisco, CA 94108 (Financial District area)","We also want to see a passion for machine learning, research, and mentorship of junior data scientists. Present information using data visualization techniques...."
271,Scala and Big Data developer,Aricent-Altran Group,"San Francisco, CA",Craft data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader....
272,100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics,CyberCoders,"San Francisco, CA 94102 (Downtown area)",5+ years in Data Analytics / Data Science position in Healthcare settings. 100% REMOTE Data Scientist- Healthcare Claims/Pharmaceutics....
273,Data/DevOps Engineer,FlowCommand Inc,"San Francisco, CA 94103 (South Of Market area)",Backend / Data Engineering:. FlowCommand is looking for its first data / devops engineer to join our small software team (currently a software engineer and a...
274,Signal processing and data scientist,GraphWear Technologies Inc.,"San Francisco, CA 94107 (South Of Market area)","SIGNAL PROCESSING AND DATA SCIENTIST. In Engineering, Physics, Computational biology, Mathematics, Statistics, or related field required with 2+ years of direct..."
275,2019 University Graduate - Data Scientist I/II - UberEverything,Uber,"San Francisco, CA 94103 (South Of Market area)","To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app..."
